name,category,file,source_url,sha256,bytes
unnamed,ancient,icons/ancient/elf-2019.png,https://www.mm2values.com/img/2019elf.png,0d7c824e3586fe44fec87613ccdbe610fd9ea737577d1840c01d99d66485bd46,20555
unnamed,ancient,icons/ancient/blossom-696.webp,https://www.mm2values.com/img/BlossomGun.png,c27e7bf9e78f97ecb6742c32cb4396313fb66dc4977d961d0bd3df49b557ed51,14402
unnamed,ancient,icons/ancient/sakura.webp,https://www.mm2values.com/img/Sakura.png,c1394c4bc52594b9e61c87321c83b553fe9849f0e25a155dbb0227bb36673452,6814
unnamed,ancient,icons/ancient/celestial.webp,https://www.mm2values.com/img/Celestial.png,25989b5bbbba4dc7d1fda2e405e4d688a8083b548a52615b79e9c0dcc8095b96,8764
unnamed,ancient,icons/ancient/raygun.webp,https://www.mm2values.com/img/Raygun.png,11ba1d699795830358f8060455d9f2585a0ee8a7fa2ee37e16bec00a4af3e56e,13460
unnamed,ancient,icons/ancient/niks-scythe.webp,https://www.mm2values.com/img/NiksScythe.png,de01473154811bef748e5878445f09ad77837be499c0f41070b991dc2431fbee,9856
unnamed,ancient,icons/ancient/gingerscope.webp,https://www.mm2values.com/img/Gingerscope.png,942896e77bb65497744c68c0a58bda369bd40a09516005b8adaf73e401b4e5d8,7282
unnamed,ancient,icons/ancient/travelers-axe.webp,https://www.mm2values.com/img/TravellersAxe.png,d6fa0c5fb88dcaae68f4cb0eaf16f5e8a62c2b482a8d276833ff9679fac6d1ba,9570
unnamed,ancient,icons/ancient/vampires-axe.png,https://www.mm2values.com/img/vampsaxe.png,659888e6d6fb33ad618d95123f7f28b9578f401df00b8d5698c8999251d09682,136877
unnamed,ancient,icons/ancient/harvester.png,https://www.mm2values.com/img/harvester.png,ab656a2ddf31d7743fdf0e40ba60498dfcbede5c7645b184cfe0e89d3b16d6fc,71937
unnamed,ancient,icons/ancient/icepiercer.webp,https://www.mm2values.com/img/Icepiercer.png,4dad90cd34ca44d5219de63eb23033a9a58fd6c6dfba814c9bcebf6fac9abeff,10936
unnamed,ancient,icons/ancient/icebreaker.webp,https://www.mm2values.com/img/Icebreaker.png,8616195e23369158f1f27ef3109a23882e6447d6b1a9ecb71926ea99e21840af,32490
unnamed,ancient,icons/ancient/batwing.webp,https://www.mm2values.com/img/BatwingUpdated.png,1ccb9082ed84ebcd325cf9d2af3456d3efb417628ab2aefca6c33db593aa505c,12580
unnamed,ancient,icons/ancient/elderwood-scythe.png,https://www.mm2values.com/img/ewscythe.png,37f3595d2d6f7c30dbdccb7308d3300ba864f261c52446f142e85b8d221b661e,23315
unnamed,ancient,icons/ancient/swirlyaxe.webp,https://www.mm2values.com/img/SwirlAxe.png,1381e289eb43278878c9a2cbb32d84be140dccf6a8153e63c43957b144801129,26800
unnamed,ancient,icons/ancient/hallowscythe.webp,https://www.mm2values.com/img/HallowscytheUp.png,cabf813f402d94ca93d535f987db0881ac57c575fd57e926f086d3d2d40c333b,21400
unnamed,ancient,icons/ancient/log-chopper.webp,https://www.mm2values.com/img/LogchopperUp.png,e61785bd1375ac70c8003d4d49d290a2c087bc9c4cd11333eff706bcee9a9e1a,18618
unnamed,ancient,icons/ancient/ice-wing.webp,https://www.mm2values.com/img/IcewingknifeUp.png,5d0cbecd55dddb824763b515750a03fb7d303b6f9703eb0de4c396dd4f81fedb,21724
unnamed,ancient,icons/ancient/unnamed_19.png,https://www.mm2values.com/imgs/spacer.png,cd700fa05f0f99181e2c9375736e1b8c2b0a8d07de63e8dddd7e861b0e0b71ca,15513
Chroma DeathShard,chroma,icons/chroma/chroma-deathshard.png,https://www.mm2values.com/img/chromads.png,bdcb6604897f8a829d6fa6238b73a0006f084b6315dd829c91a5d3d36f588d2d,64131
unnamed,chroma,icons/chroma/chroma-travelers-gun.webp,https://www.mm2values.com/img/ChromaTravGun.png,459b9a5ecf018ae184abdc53f628bb823e7079bda430c6e8ef6738c5bc50260a,7122
unnamed,chroma,icons/chroma/chroma-evergun.webp,https://www.mm2values.com/img/Chroma_Evergun.png,282b86d1fac0db8f6a7c8128a2457d39365b0f9427108b8e86f722803f760c9b,12926
unnamed,chroma,icons/chroma/chroma-evergreen.webp,https://www.mm2values.com/img/Chroma_Evergreen.png,d72d40bfedc767b28e549845089132aeadf9dae96f6e2de3e5fcc22fea1240ee,5932
unnamed,chroma,icons/chroma/chroma-bauble.webp,https://www.mm2values.com/img/CBauble.png,59f3d942c2ca2c52e9544b5f9b5f35d01eda2cb22f4a07d9b131684e103fdc0c,43446
unnamed,chroma,icons/chroma/chroma-vampires-gun.png,https://www.mm2values.com/img/chromavampsgun.png,06ad3b5c1d65bb394253ada95a444886768e1a53ea4ee7ef9cf89a014cd57275,172371
unnamed,chroma,icons/chroma/chroma-constellation.webp,https://www.mm2values.com/img/ChromaConstellation.png,dd924a1c9ad5f18374d8f3c44689ecfacbd97bea290ec220d650e2c1fb860ca8,8794
unnamed,chroma,icons/chroma/chroma-alienbeam.webp,https://www.mm2values.com/img/ChromaAlienbeam.png,7678f7448a6637aeb43af2607e5975ad32f1af82f6bfdba4faa3e01dab63bec9,25530
