record_id,source,source_category,tier,name,canonical_name,value,value_text,range_low,range_high,range_text,demand,rarity,stability,origin,change_text,image_url,wiki_url,page_url,source_item_id,fetched_at
a0e3e50bbecf36c585b9aa11,mm2values,ancient,TIER 3,Batwing,batwing,45.0,45,,,N/A,2.0,2.0,Stable,,,https://www.mm2values.com/img/BatwingUpdated.png,https://murder-mystery-2.fandom.com/wiki/Batwing,https://www.mm2values.com/?p=ancient,3,2026-07-31T08:58:27.358846+00:00
8abd9186751fea1a7212fa52,mm2values,ancient,TIER 5,Celestial,celestial,2175.0,"2,175",2175.0,2225.0,2175-2225,6.0,3.5,Doing Well,,,https://www.mm2values.com/img/Celestial.png,https://murder-mystery-2.fandom.com/wiki/Celestial,https://www.mm2values.com/?p=ancient,860,2026-07-31T08:58:27.358846+00:00
c5452c97d8e32230f5ffb0e3,mm2values,ancient,TIER 3,Elderwood Scythe,elderwood scythe,40.0,40,,,N/A,2.0,2.0,Stable,,,https://www.mm2values.com/img/ewscythe.png,https://murder-mystery-2.fandom.com/wiki/Elderwood_Scythe,https://www.mm2values.com/?p=ancient,2,2026-07-31T08:58:27.358846+00:00
cede0e5ca15d6d2d92407ed3,mm2values,ancient,TIER 5,Gingerscope,gingerscope,17700.0,"17,700",,,N/A,7.0,4.0,Stable,,,https://www.mm2values.com/img/Gingerscope.png,https://murder-mystery-2.fandom.com/wiki/Gingerscope,https://www.mm2values.com/?p=ancient,771,2026-07-31T08:58:27.358846+00:00
ff05a8277d2c0c8e6d855b29,mm2values,ancient,TIER 3,Hallowscythe,hallowscythe,32.0,32,,,N/A,2.0,2.0,Stable,,,https://www.mm2values.com/img/HallowscytheUp.png,https://murder-mystery-2.fandom.com/wiki/Hallowscythe,https://www.mm2values.com/?p=ancient,471,2026-07-31T08:58:27.358846+00:00
eccd49d22857de6d4e5625d5,mm2values,ancient,TIER 4,Harvester,harvester,245.0,245,,,N/A,3.0,1.5,Stable,,,https://www.mm2values.com/img/harvester.png,https://murder-mystery-2.fandom.com/wiki/Harvester,https://www.mm2values.com/?p=ancient,526,2026-07-31T08:58:27.358846+00:00
7b53e0ef3ce188918eac52a8,mm2values,ancient,TIER 1,Ice Wing,ice wing,15.0,15,,,N/A,2.0,1.0,Stable,,,https://www.mm2values.com/img/IcewingknifeUp.png,https://murder-mystery-2.fandom.com/wiki/Icewing,https://www.mm2values.com/?p=ancient,4,2026-07-31T08:58:27.358846+00:00
247c806c524d9c023a462a1d,mm2values,ancient,TIER 3,Icebreaker,icebreaker,70.0,70,,,N/A,2.0,2.0,Stable,,,https://www.mm2values.com/img/Icebreaker.png,https://murder-mystery-2.fandom.com/wiki/Icebreaker,https://www.mm2values.com/?p=ancient,480,2026-07-31T08:58:27.358846+00:00
85e1e447dc6bd86b64f929aa,mm2values,ancient,TIER 4,Icepiercer,icepiercer,165.0,165,,,N/A,2.5,1.5,Stable,,,https://www.mm2values.com/img/Icepiercer.png,https://murder-mystery-2.fandom.com/wiki/Icepiercer,https://www.mm2values.com/?p=ancient,661,2026-07-31T08:58:27.358846+00:00
66bbcc89c5a7fdce17038801,mm2values,ancient,TIER 2,Log Chopper,log chopper,20.0,20,,,N/A,1.5,2.0,Stable,,,https://www.mm2values.com/img/LogchopperUp.png,https://murder-mystery-2.fandom.com/wiki/Logchopper,https://www.mm2values.com/?p=ancient,404,2026-07-31T08:58:27.358846+00:00
51f118ed7f33a9b8416746f8,mm2values,ancient,TIER 5,Niks Scythe,niks scythe,250000000.0,"250,000,000",,,N/A,11.0,11.0,Overpaid for,,,https://www.mm2values.com/img/NiksScythe.png,https://murder-mystery-2.fandom.com/wiki/Nik%27s_Scythe,https://www.mm2values.com/?p=ancient,1,2026-07-31T08:58:27.358846+00:00
87618c6219cc4b65d26603eb,mm2values,ancient,TIER 3,SwirlyAxe,swirlyaxe,40.0,40,,,N/A,2.0,2.0,Stable,,,https://www.mm2values.com/img/SwirlAxe.png,https://murder-mystery-2.fandom.com/wiki/Swirly_Axe,https://www.mm2values.com/?p=ancient,529,2026-07-31T08:58:27.358846+00:00
b642bc2b34a5d26db451a58c,mm2values,ancient,TIER 5,Travelers Axe,travelers axe,8000.0,"8,000",,,N/A,5.0,4.5,Stable,,,https://www.mm2values.com/img/TravellersAxe.png,https://murder-mystery-2.fandom.com/wiki/Traveler%27s_Axe,https://www.mm2values.com/?p=ancient,743,2026-07-31T08:58:27.358846+00:00
87a201567f871c9eafc8829f,mm2values,ancient,TIER 5,Vampires Axe,vampires axe,1225.0,"1,225",,,N/A,5.0,3.0,Stable,,,https://www.mm2values.com/img/vampsaxe.png,https://murder-mystery-2.fandom.com/wiki/Vampire%27s_Axe,https://www.mm2values.com/?p=ancient,829,2026-07-31T08:58:27.358846+00:00
ea5742730da8c21db3b4118d,mm2values,chroma,TIER 3,"Chroma Alienbeam Value: 23,000",chroma alienbeam value 23 000,23000.0,"23,000",,,N/A,6.0,5.5,Stable,,,https://www.mm2values.com/img/ChromaAlienbeam.png,https://murder-mystery-2.fandom.com/wiki/Chroma_Alienbeam,https://www.mm2values.com/?p=chroma,927,2026-07-31T08:58:31.880603+00:00
3cda94e36de259598f6ebb5c,mm2values,chroma,TIER 3,"Chroma Bauble Value: 33,000",chroma bauble value 33 000,33000.0,"33,000",,,N/A,6.0,6.0,Stable,,,https://www.mm2values.com/img/CBauble.png,https://murder-mystery-2.fandom.com/wiki/Chroma_Bauble,https://www.mm2values.com/?p=chroma,855,2026-07-31T08:58:31.880603+00:00
3fed04732d699add86780505,mm2values,chroma,TIER 3,"Chroma Beachy Value: 1,600",chroma beachy value 1 600,1600.0,"1,600",1500.0,1700.0,1500-1700,5.5,4.0,Fluctuating,,,https://www.mm2values.com/img/CBeachy.png,,https://www.mm2values.com/?p=chroma,1008,2026-07-31T08:58:31.880603+00:00
2f5a12e641a3cd7a35a2191c,mm2values,chroma,TIER 3,"Chroma Blizzard Value: 7,800",chroma blizzard value 7 800,7800.0,"7,800",,,N/A,4.5,5.0,Stable,,,https://www.mm2values.com/img/ChromaBlizzard.png,,https://www.mm2values.com/?p=chroma,957,2026-07-31T08:58:31.880603+00:00
7f40fba40ce6ca246d1d7669,mm2values,chroma,TIER 1,Chroma Boneblade Value: 20,chroma boneblade value 20,20.0,20,,,N/A,1.0,2.0,Stable,,,https://www.mm2values.com/img/Chroma_Boneblade.png,https://murder-mystery-2.fandom.com/wiki/Chroma_Boneblade,https://www.mm2values.com/?p=chroma,16,2026-07-31T08:58:31.880603+00:00
e76ab27574c86bc4c489e524,mm2values,chroma,TIER 1,Chroma Candleflame Value: 40,chroma candleflame value 40,40.0,40,,,N/A,1.0,2.0,Stable,,,https://www.mm2values.com/img/chromacandle.png,https://murder-mystery-2.fandom.com/wiki/Chroma_Candleflame,https://www.mm2values.com/?p=chroma,525,2026-07-31T08:58:31.880603+00:00
154ea8d2cee300a016c6a9f6,mm2values,chroma,TIER 3,"Chroma Constellation Value: 27,500",chroma constellation value 27 500,27500.0,"27,500",,,N/A,7.0,6.0,Stable,,,https://www.mm2values.com/img/ChromaConstellation.png,https://murder-mystery-2.fandom.com/wiki/Chroma_Constellation,https://www.mm2values.com/?p=chroma,857,2026-07-31T08:58:31.880603+00:00
ad9221d15ee1e0bd371a7b79,mm2values,chroma,TIER 1,Chroma Cookiecane Value: 30,chroma cookiecane value 30,30.0,30,,,N/A,1.0,2.0,Stable,,,https://www.mm2values.com/img/ChromaCookiecane.png,https://murder-mystery-2.fandom.com/wiki/Chroma_Cookiecane,https://www.mm2values.com/?p=chroma,659,2026-07-31T08:58:31.880603+00:00
5c4f13996b2e212149a54176,mm2values,chroma,TIER 1,Chroma Darkbringer Value: 60,chroma darkbringer value 60,60.0,60,,,N/A,2.0,2.0,Stable,,,https://www.mm2values.com/img/Chroma_Darkbringer.png,https://murder-mystery-2.fandom.com/wiki/Chroma_Darkbringer,https://www.mm2values.com/?p=chroma,447,2026-07-31T08:58:31.880603+00:00
a236956dc1a02134b196fa3b,mm2values,chroma,TIER 1,Chroma DeathShard Value: 35,chroma deathshard value 35,35.0,35,,,N/A,1.0,2.0,Stable,,,https://www.mm2values.com/img/chromads.png,https://murder-mystery-2.fandom.com/wiki/Chroma_Deathshard,https://www.mm2values.com/?p=chroma,13,2026-07-31T08:58:31.880603+00:00
